African Country,Non-African Partner,GDP in African Country (2023 Million USD),Sourcez,Trade Balance goods (2024 in million USD),Source,FDIs (In Mio 2023),Source,Economic and Investment connectivity between African country and non-African partner,Trade Balance of Goods to GDP in Percent,FDI to GDP in Percent,Sum of Trade Balance to GDP and FDI to GDP in Percent,Other,Policy Frameworks for Cliamte Finance and Green Investments,Economic and Investment Trend,,,,,,,,
Morocco,EU,"$144,420.00",https://data.worldbank.org/?locations=SN-EU,"-$8,106","IMF Dataset: International Trade in Goods (by partner country) (IMTS) 
 https://betadata.imf.org/en/Data-Explorer?datasetUrn=IMF.STA:IMTS_DOT(1.0.1)&INDICATOR=G_TB_USD&COUNTRY=MAR",$592.20,EU direct investment flows by countries (BPM6) https://ec.europa.eu/eurostat/databrowser/view/bop_fdi6_geo__custom_15670140/default/table?lang=en,High,-5.61%,0.41%,6.02%,Unusual Data,,Increase,,,,,,,,
Morocco,China,"$144,420.00",https://data.worldbank.org/?locations=SN-EU,"-$7,157","IMF Dataset: International Trade in Goods (by partner country) (IMTS) 
 https://betadata.imf.org/en/Data-Explorer?datasetUrn=IMF.STA:IMTS_DOT(1.0.1)&INDICATOR=G_TB_USD&COUNTRY=MAR",$241.59,Chinese MOFA - https://www.mofcom.gov.cn/cms_files/filemanager/146795751/attach/20249/d5ec0644265b49d58e2944dbadb71c9b.pdf?fileName=%E3%80%8A2023%E5%B9%B4%E4%B8%AD%E5%9B%BD%E5%AF%B9%E5%A4%96%E7%9B%B4%E6%8E%A5%E6%8A%95%E8%B5%84%E7%BB%9F%E8%AE%A1%E5%85%AC%E6%8A%A5%E3%80%8B.pdf,High,-4.96%,0.17%,5.12%,Potentially replace the EU's Trade Blance in Good data from the IMF with the Eurostat Data to increase accuarcy,,Increase,,,,,,,,
Morocco,GCC,"$144,420.00",https://data.worldbank.org/?locations=SN-EU,"-$3,750","IMF Dataset: International Trade in Goods (by partner country) (IMTS) 
 https://betadata.imf.org/en/Data-Explorer?datasetUrn=IMF.STA:IMTS_DOT(1.0.1)&INDICATOR=G_TB_USD&COUNTRY=MAR",,,Moderate,-2.60%,0.00%,2.60%,,,Stable ,,Areas of Cooperation in the space Green Manufacturing (focus on Technology),,,,,,Source
Zambia,EU,"$27,580.00",https://data.worldbank.org/?locations=SN-EU,-$440,"IMF Dataset: International Trade in Goods (by partner country) (IMTS) 
 https://betadata.imf.org/en/Data-Explorer?datasetUrn=IMF.STA:IMTS_DOT(1.0.1)&INDICATOR=G_TB_USD&COUNTRY=MAR",-$96.20,EU direct investment flows by countries (BPM6) https://ec.europa.eu/eurostat/databrowser/view/bop_fdi6_geo__custom_15670140/default/table?lang=en,Moderate,-1.60%,-0.35%,1.94%,,,Decrease,,Energy-Efficient Production & Renewable Energy Integration,Sustainable Supply Chains & Circular Economy,Green Materials & Eco-Friendly Inputs,Smart & Digital Manufacturing for Sustainability,Carbon Capture & Low-Emission Processes,,https://www.sciencedirect.com/science/article/pii/S2666790823000186#sec3
Zambia,China,"$27,580.00",https://data.worldbank.org/?locations=SN-EU,$186,"IMF Dataset: International Trade in Goods (by partner country) (IMTS) 
 https://betadata.imf.org/en/Data-Explorer?datasetUrn=IMF.STA:IMTS_DOT(1.0.1)&INDICATOR=G_TB_USD&COUNTRY=MAR",$116.88,Chinese MOFA - https://www.mofcom.gov.cn/cms_files/filemanager/146795751/attach/20249/d5ec0644265b49d58e2944dbadb71c9b.pdf?fileName=%E3%80%8A2023%E5%B9%B4%E4%B8%AD%E5%9B%BD%E5%AF%B9%E5%A4%96%E7%9B%B4%E6%8E%A5%E6%8A%95%E8%B5%84%E7%BB%9F%E8%AE%A1%E5%85%AC%E6%8A%A5%E3%80%8B.pdf,High,0.67%,0.42%,-0.25%,,,Increase,,"Use of solar, wind, and hydropower in factories.","Recycling, reusing, and repurposing materials to minimize waste.","Use of biodegradable, recycled, or bio-based materials instead of plastics and metals.","Use of AI, IoT, and blockchain to optimize resource efficiency and reduce emissions.","Carbon capture, utilization, and storage (CCUS) to reduce CO₂ emissions.",,
Zambia,GCC,"$27,580.00",https://data.worldbank.org/?locations=SN-EU,"-$1,275","IMF Dataset: International Trade in Goods (by partner country) (IMTS) 
 https://betadata.imf.org/en/Data-Explorer?datasetUrn=IMF.STA:IMTS_DOT(1.0.1)&INDICATOR=G_TB_USD&COUNTRY=MAR",,,Moderate,-4.62%,0.00%,4.62%,,,Increase,,"Adoption of energy-efficient machinery (e.g., smart motors, heat recovery systems).","Circular supply chains, where waste is reintegrated into production (e.g., Adidas’ recyclable sneakers).",Green steel (produced with hydrogen) and biodegradable packaging are key trends.,Predictive analytics to cut energy and waste consumption.,Green cement and low-emission aluminum as key innovations.,,
Senegal,EU,"$30,850.00",https://data.worldbank.org/?locations=SN-EU,"-$3,288","IMF Dataset: International Trade in Goods (by partner country) (IMTS) 
 https://betadata.imf.org/en/Data-Explorer?datasetUrn=IMF.STA:IMTS_DOT(1.0.1)&INDICATOR=G_TB_USD&COUNTRY=MAR",$187.50,EU direct investment flows by countries (BPM6) https://ec.europa.eu/eurostat/databrowser/view/bop_fdi6_geo__custom_15670140/default/table?lang=en,High*,-10.66%,0.61%,11.27%,,,Increase,,,,,,,,
Senegal,China,"$30,850.00",https://data.worldbank.org/?locations=SN-EU,"-$1,069","IMF Dataset: International Trade in Goods (by partner country) (IMTS) 
 https://betadata.imf.org/en/Data-Explorer?datasetUrn=IMF.STA:IMTS_DOT(1.0.1)&INDICATOR=G_TB_USD&COUNTRY=MAR",$58.57,Chinese MOFA - https://www.mofcom.gov.cn/cms_files/filemanager/146795751/attach/20249/d5ec0644265b49d58e2944dbadb71c9b.pdf?fileName=%E3%80%8A2023%E5%B9%B4%E4%B8%AD%E5%9B%BD%E5%AF%B9%E5%A4%96%E7%9B%B4%E6%8E%A5%E6%8A%95%E8%B5%84%E7%BB%9F%E8%AE%A1%E5%85%AC%E6%8A%A5%E3%80%8B.pdf,Moderate,-3.47%,0.19%,3.66%,,,Stable ,,Economic and Investment connectivity Classification,,,,,,
Senegal,GCC,"$30,850.00",https://data.worldbank.org/?locations=SN-EU,"-$1,066","IMF Dataset: International Trade in Goods (by partner country) (IMTS) 
 https://betadata.imf.org/en/Data-Explorer?datasetUrn=IMF.STA:IMTS_DOT(1.0.1)&INDICATOR=G_TB_USD&COUNTRY=MAR",,,Moderate,-3.46%,0.00%,3.46%,,,Stable ,,,1-2.49%,Low,,,,
Nigeria,EU,"$363,850.00",https://data.worldbank.org/?locations=SN-EU,"$7,429","IMF Dataset: International Trade in Goods (by partner country) (IMTS) 
 https://betadata.imf.org/en/Data-Explorer?datasetUrn=IMF.STA:IMTS_DOT(1.0.1)&INDICATOR=G_TB_USD&COUNTRY=MAR",,EU direct investment flows by countries (BPM6) https://ec.europa.eu/eurostat/databrowser/view/bop_fdi6_geo__custom_15670140/default/table?lang=en,Low,2.04%,0.00%,2.04%,,,Increase,,,"2.5-4,99%",Moderate,,,,
